Frequency (Hz)	Level (dB)
11541.796875	-73.670738
11584.863281	-73.802658
11627.929688	-73.920876
11670.996094	-73.851128
11714.062500	-73.793785
11757.128906	-73.824738
11800.195313	-73.876862
11843.261719	-74.112030
11886.328125	-74.009346
11929.394531	-73.945503
11972.460938	-74.088928
12015.527344	-74.122093
12058.593750	-74.038170
12101.660156	-74.013748
12144.726563	-74.047188
12187.792969	-74.183495
12230.859375	-74.145767
12273.925781	-74.055237
12316.992188	-74.186226
12360.058594	-74.300713
12403.125000	-74.342331
12446.191406	-74.272339
12489.257813	-74.342819
12532.324219	-74.372925
12575.390625	-74.310684
12618.457031	-74.322212
12661.523438	-74.542747
12704.589844	-74.498093
12747.656250	-74.455208
12790.722656	-74.445259
12833.789063	-74.589882
12876.855469	-74.802696
12919.921875	-74.715179
12962.988281	-74.692680
13006.054688	-74.553070
13049.121094	-74.577026
13092.187500	-74.716026
13135.253906	-74.689987
13178.320313	-74.694092
13221.386719	-74.657463
13264.453125	-74.839142
13307.519531	-74.907150
13350.585938	-74.727409
13393.652344	-74.969536
13436.718750	-75.118202
13479.785156	-75.063301
13522.851563	-75.093765
13565.917969	-75.208092
13608.984375	-75.059601
13652.050781	-74.889046
13695.117188	-75.133720
13738.183594	-75.037415
13781.250000	-75.017479
13824.316406	-75.147926
13867.382813	-75.199203
13910.449219	-75.152115
13953.515625	-75.113815
13996.582031	-75.160469
14039.648438	-75.180466
14082.714844	-75.165459
14125.781250	-75.038254
14168.847656	-75.155487
14211.914063	-75.209702
14254.980469	-75.277809
14298.046875	-75.221985
14341.113281	-75.146065
14384.179688	-75.318619
14427.246094	-75.217949
14470.312500	-75.228149
14513.378906	-75.307343
14556.445313	-75.518951
14599.511719	-75.648537
14642.578125	-75.649879
14685.644531	-75.574486
14728.710938	-75.592606
14771.777344	-75.594887
14814.843750	-75.561661
14857.910156	-75.549568
14900.976563	-75.522423
14944.042969	-75.430084
14987.109375	-75.503265
15030.175781	-75.497787
15073.242188	-75.629013
15116.308594	-75.498344
15159.375000	-75.737000
15202.441406	-75.765633
15245.507813	-75.662575
15288.574219	-75.790825
15331.640625	-75.835373
15374.707031	-75.727997
15417.773438	-75.742813
15460.839844	-75.826210
15503.906250	-75.829033
15546.972656	-75.863350
15590.039063	-75.795929
15633.105469	-75.789909
15676.171875	-75.946793
15719.238281	-75.915543
15762.304688	-75.879486
15805.371094	-75.843384
15848.437500	-76.054916
15891.503906	-76.250153
15934.570313	-76.063354
15977.636719	-76.027802
16020.703125	-76.115646
16063.769531	-76.164497
16106.835938	-76.033043
16149.902344	-76.037949
16192.968750	-76.255310
16236.035156	-76.106499
16279.101563	-75.979515
16322.167969	-76.222076
16365.234375	-76.311378
16408.300781	-76.332245
16451.367188	-76.239204
16494.433594	-76.282486
16537.500000	-76.342422
16580.566406	-76.207436
16623.632813	-76.127869
16666.699219	-76.171265
16709.765625	-76.164200
16752.832031	-76.182442
16795.898438	-76.250702
16838.964844	-76.359482
16882.031250	-76.345459
16925.097656	-76.260246
16968.164063	-76.234428
17011.230469	-76.252098
17054.296875	-76.425552
17097.363281	-76.340775
17140.429688	-76.260956
17183.496094	-76.396965
17226.562500	-76.613159
17269.628906	-76.556068
17312.695313	-76.523819
17355.761719	-76.403564
17398.828125	-76.444916
17441.894531	-76.542206
17484.960938	-76.300377
17528.027344	-76.234047
17571.093750	-76.526909
17614.160156	-76.644707
17657.226563	-76.632378
17700.292969	-76.483749
17743.359375	-76.452576
17786.425781	-76.345848
17829.492188	-76.430481
17872.558594	-76.368614
17915.625000	-76.525681
17958.691406	-76.563972
18001.757813	-76.567680
18044.824219	-76.604355
18087.890625	-76.671875
18130.957031	-76.592056
18174.023438	-76.773209
18217.089844	-76.714882
18260.156250	-76.585213
18303.222656	-76.624008
18346.289063	-76.716408
18389.355469	-76.703407
18432.421875	-76.539963
18475.488281	-76.538116
18518.554688	-76.410027
18561.621094	-76.530716
18604.687500	-76.636124
18647.753906	-76.506805
18690.820313	-76.367760
18733.886719	-76.429298
18776.953125	-76.596741
18820.019531	-76.634972
18863.085938	-76.710548
18906.152344	-76.840271
18949.218750	-76.744179
18992.285156	-76.622406
19035.351563	-76.712906
19078.417969	-76.537514
19121.484375	-76.605865
19164.550781	-76.729485
19207.617188	-76.778252
19250.683594	-76.663750
19293.750000	-76.639359
19336.816406	-76.547638
19379.882813	-76.572166
19422.949219	-76.747292
19466.015625	-76.840965
19509.082031	-76.841698
19552.148438	-76.667244
19595.214844	-76.712677
19638.281250	-76.696709
19681.347656	-76.788651
19724.414063	-76.796127
19767.480469	-76.729004
19810.546875	-76.574097
19853.613281	-76.543037
19896.679688	-76.677101
19939.746094	-76.775276
19982.812500	-76.903748
20025.878906	-76.630440
20068.945313	-76.680763
20112.011719	-76.833817
20155.078125	-76.963226
20198.144531	-76.781326
20241.210938	-76.728447
20284.277344	-76.821129
20327.343750	-76.774437
20370.410156	-76.794785
20413.476563	-76.708229
20456.542969	-76.738289
20499.609375	-76.713791
20542.675781	-76.721870
20585.742188	-76.692581
20628.808594	-76.931107
20671.875000	-76.830414
20714.941406	-77.001907
20758.007813	-76.795509
20801.074219	-76.766220
20844.140625	-76.729958
20887.207031	-76.882080
20930.273438	-77.003731
20973.339844	-76.821480
21016.406250	-76.909958
21059.472656	-76.979294
21102.539063	-76.803551
21145.605469	-76.873978
21188.671875	-77.016319
21231.738281	-77.099457
21274.804688	-77.012321
21317.871094	-77.046074
21360.937500	-77.164528
21404.003906	-77.153427
21447.070313	-76.961441
21490.136719	-76.961937
21533.203125	-76.882507
21576.269531	-76.801514
21619.335938	-76.808029
21662.402344	-76.707474
21705.468750	-76.922333
21748.535156	-76.949532
21791.601563	-76.990982
21834.667969	-76.800850
21877.734375	-76.653206
21920.800781	-76.937019
21963.867188	-76.876076
22006.933594	-76.838112
